, ,Time,StnPres,Temperature,RH,WS,WD,Precp,Holiday,target
193,1406,0,1011.8,18.2,66.0,0.0,0.0,0.0,0,0
194,1469,0,1003.1,24.2,92.0,0.0,0.0,0.0,0,0
195,1490,0,1004.9,23.0,99.0,0.0,0.0,0.0,0,0
196,1511,0,1004.1,25.0,96.0,0.0,0.0,0.0,0,0
197,1532,0,1003.4,24.5,99.0,1.1,80.0,0.0,0,0
198,1553,0,1009.2,18.0,82.0,2.3,78.0,0.0,0,0
199,1616,0,1006.9,19.3,88.0,0.5,86.0,0.0,0,0
200,1637,0,1007.0,22.1,77.0,1.3,70.0,0.0,0,0
201,1658,0,1006.1,23.6,76.0,0.5,121.0,0.0,0,0
202,1679,0,1004.8,24.4,82.0,0.0,0.0,0.0,0,0
203,1700,0,1002.6,25.5,81.0,0.0,0.0,0.0,0,0
204,1763,0,1005.9,19.2,78.0,1.1,68.0,0.0,0,0
205,1784,0,1005.7,21.5,81.0,0.0,0.0,0.0,0,0
206,1805,0,1008.5,22.3,88.0,2.0,84.0,0.0,0,0
207,1826,0,1005.5,22.8,88.0,0.0,0.0,0.0,0,0
208,1847,0,1004.4,24.1,99.0,0.1,0.0,0.0,0,0
209,1868,0,1005.1,24.6,97.0,0.1,0.0,0.0,0,0
210,1910,0,1005.3,24.8,97.0,0.7,61.0,0.0,0,0
211,1931,0,1009.6,21.0,78.0,1.7,83.0,0.0,0,0
212,2057,0,1010.3,20.8,80.0,1.4,67.0,0.0,0,0
213,2078,0,1007.7,21.4,85.0,1.4,78.0,0.0,0,0
214,2099,0,1004.8,23.8,73.0,0.0,0.0,0.0,0,0
215,2120,0,1002.9,25.0,93.0,0.1,0.0,0.0,0,0
216,2141,0,1002.7,25.9,86.0,0.0,0.0,0.0,0,0
217,2204,0,1000.5,26.9,99.0,0.2,0.0,0.0,0,0
218,2225,0,999.3,27.4,94.0,0.3,197.0,0.0,0,0
219,2246,0,999.5,27.9,92.0,0.1,0.0,0.0,0,0
220,2267,0,1000.9,26.3,99.0,0.0,0.0,0.0,0,0
221,2288,0,1003.3,28.0,84.0,1.4,244.0,0.0,0,0
222,2351,0,1003.2,22.9,90.0,1.7,87.0,0.0,0,0
223,2372,0,1001.5,25.8,92.0,0.0,0.0,0.0,0,0
224,2393,0,998.1,27.5,92.0,0.3,61.0,0.0,0,1
225,2414,0,1000.6,27.7,90.0,0.0,0.0,0.0,0,0
226,2435,0,1001.3,27.9,93.0,0.3,106.0,0.0,0,0
227,2498,0,1002.8,26.8,94.0,0.4,187.0,0.0,0,0
228,2519,0,1003.6,26.3,94.0,1.7,75.0,0.0,0,0
229,2540,0,1005.1,21.9,94.0,1.9,79.0,0.0,0,0
230,2561,0,1002.5,24.1,99.0,1.0,85.0,0.0,0,0
231,2582,0,1001.6,25.0,100.0,1.2,85.0,0.0,0,0
232,2645,0,1001.2,25.8,99.0,1.4,84.0,0.0,0,0
233,2666,0,999.3,27.1,99.0,1.1,75.0,0.0,0,0
234,2687,0,995.3,26.8,99.0,1.7,85.0,0.0,0,0
235,2708,0,993.3,26.4,94.0,0.6,77.0,0.0,0,0
236,2729,0,993.0,25.7,99.0,1.0,62.0,0.0,0,0
237,2792,0,991.6,24.6,93.0,1.2,91.0,0.0,0,0
238,2813,0,991.3,23.7,99.0,2.0,79.0,0.0,0,0
239,2834,0,996.9,24.1,100.0,0.0,0.0,0.0,0,0
240,2855,0,998.0,24.6,99.0,0.7,69.0,0.0,0,0
241,2876,0,996.6,27.1,92.0,0.2,0.0,0.0,0,0
242,2939,0,998.8,28.8,81.0,0.7,212.0,0.0,0,0
243,2960,0,1000.0,26.4,100.0,0.0,0.0,0.0,0,0
244,2981,0,1000.9,26.2,99.0,1.0,74.0,0.0,0,0
245,3002,0,1001.8,26.5,96.0,0.0,0.0,0.0,0,0
246,3023,0,1003.2,27.6,96.0,0.0,0.0,0.0,0,0
247,3086,0,1001.2,28.1,83.0,0.0,0.0,0.0,0,0
248,3107,0,997.2,27.5,92.0,0.1,0.0,0.0,0,0
249,3128,0,996.0,27.3,87.0,0.0,0.0,0.0,0,1
250,3149,0,997.6,26.9,82.0,0.3,229.0,0.0,0,0
251,3170,0,995.1,29.1,78.0,1.4,217.0,0.0,0,0
252,3233,0,993.5,28.9,71.0,0.1,0.0,0.0,0,0
253,3254,0,994.7,28.2,75.0,0.0,0.0,0.0,0,0
254,3275,0,996.3,28.2,80.0,0.1,0.0,0.0,0,0
255,3296,0,998.3,26.2,97.0,0.2,0.0,0.0,0,0
256,3317,0,999.8,28.3,75.0,0.2,0.0,0.0,0,0
257,3380,0,998.4,28.3,87.0,0.0,0.0,0.0,0,0
258,3401,0,999.5,29.4,69.0,2.8,71.0,0.0,0,0
259,3422,0,999.7,28.8,70.0,1.5,89.0,0.0,0,1
260,3443,0,999.1,28.4,69.0,2.4,83.0,0.0,0,0
261,3464,0,998.8,27.8,83.0,1.6,75.0,0.0,0,0
262,3548,0,998.1,27.3,97.0,1.7,87.0,0.0,0,0
263,3569,0,995.6,27.8,93.0,0.2,0.0,0.0,0,0
264,3590,0,992.6,26.5,99.0,0.0,0.0,0.0,0,0
265,3611,0,994.2,28.5,84.0,1.5,229.0,0.0,0,0
